customerName,invoiceCount,totalValue
"Warehouse Wines and Liquor",2,2.00
"RECEPTION BAR INC",1,2.00
"FoodexBrooklynLLC",1,2.00
"Total Wine and More- Brookfield",1,2.00
"Slope Cellars",1,2.00
"Trattoria Vivolo",1,2.00
"Main St. Wine and Liquor",1,2.00
"The Wise Old Dog",1,2.00
"Luc’s",1,2.00
"TKM 228 EAST 10TH ST LLC",1,2.00
"Witherspoon Wine & Spirits",3,1.83
"Harry's Discount Liquors",1,1.67
"Rock 45 SW Bistro, L.L.C. & 45 Rock Center, L.L.C.",1,1.58
"Million Goods LLC",1,1.50
"K2R2 Logistics",1,1.42
"Cost Cutters Dayville",1,1.33
"Windsor Court Wine and Spirits",1,1.33
"5 Kings Liquor",1,1.33
"Noreetuh",1,1.33
"OLD MILL OPS LLC",1,1.25
"L'Abeille",3,1.17
"Yara Salon",1,1.00
"Race Lane Liquors",1,1.00
"Sossego Modern Brazilian Design",1,1.00
"Handcrafted - Nebraska",1,1.00
"Mozzarella Holdings LLC",1,1.00
"Lost Vines",1,1.00
"Phoenix Hospitality Llc",1,1.00
"Om Nityanand LLC",1,1.00
"North Street Wine and Liquor",1,1.00
"JG Dumbo LLC",1,1.00
"Daniel Hampton",1,1.00
"Berkeley & Stuart Wine Company",1,1.00
"Entre Amis",1,1.00
"Saint Urban",1,1.00
"Hunt & Fish Club",1,1.00
"Stew Leonard's Wines and Spirits Newington",1,1.00
"Fairway Liquor Mart",1,1.00
"TS Pizza Restaurant Inc",1,1.00
"Ernest Muzquiz",1,1.00
"Susan or Chad McCord",1,0.75
"The Wine Thief- Whitney Ave",1,0.67
"Clos & Monopole Samples",1,0.58
"The Liquor Mart Wallingford",1,0.50
"Killingly Discount Liquors",1,0.50
"Hazelton Wine and Spirits",1,0.50
"Aszu Wine & Spirits",1,0.42
"Babbo LLC",1,0.42
"Rosa-Anna Winchell Samples",8,0.25
"Chez Ma Tante Samples",1,0.17
"Veritas Distributors, Inc.",1,0.17
"Angela Fultz Samples",7,0.00
"Blue Hill at Stone Barns",1,0.00
"Samples to Customers",73,0.00
"Jared Lorenz Samples",11,0.00
"Maison Brondeau",1,0.00
"Travis Vernon Samples",1,0.00
"Crane Club Lounge",1,0.00
"JAS Samples",1,0.00
"A Perfect U",1,0.00
"Samples (Replacement Bottles)",1,0.00
"Test Retailer",2,0.00
